Name,Age,Value €,Value $,Value £,Wage €,Wage $,Wage £,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,GK Positioning,GK Diving,GK Handling,GK Kicking,GK Reflexes
Karim Benzema,33,83500000.0,94000000.0,75000000.0,350000.0,390000.0,310000.0,90,87,47,18,24,63,91,90,39,87,90,75,86,73,77,78,80,69,72,79,79,91,84,88,79,81,73,84,86,5,13,11,5,7
Marc-André ter Stegen,28,110000000.0,124500000.0,99000000.0,260000.0,300000.0,235000.0,30,21,25,10,13,43,86,11,22,70,70,18,61,63,38,35,78,43,50,39,79,11,66,14,10,18,12,25,14,88,88,85,88,90
Harry Kane,27,123000000.0,138500000.0,110500000.0,225000.0,250000.0,200000.0,85,81,63,38,36,81,90,93,44,86,91,75,84,86,66,84,84,71,69,69,79,86,91,94,86,83,68,91,85,14,8,10,11,11
Joshua Kimmich,26,110000000.0,124500000.0,99000000.0,150000.0,170000.0,135000.0,85,83,85,79,85,89,88,80,84,85,85,91,87,89,77,95,68,84,66,84,79,72,78,68,84,85,61,44,69,15,8,15,7,15
Sadio Mané,29,92000000.0,104000000.0,83000000.0,225000.0,250000.0,200000.0,88,90,42,38,42,75,92,90,35,83,84,76,84,71,95,88,71,88,93,93,86,84,83,87,78,77,64,71,75,7,10,10,15,14
Robert Lewandowski,32,124500000.0,140500000.0,112000000.0,270000.0,310000.0,245000.0,88,85,35,19,42,81,93,95,49,81,88,71,85,70,77,76,86,82,79,77,84,90,90,95,87,79,85,90,89,8,15,6,12,10
Leon Goretzka,26,94500000.0,106500000.0,85000000.0,130000.0,145000.0,115000.0,87,84,74,77,85,81,88,85,86,84,82,75,86,84,77,88,88,70,83,76,79,86,85,82,86,76,75,60,69,11,13,8,15,9
Neymar Jr,29,132000000.0,149500000.0,119000000.0,270000.0,310000.0,245000.0,95,95,35,29,30,51,91,87,36,90,93,85,87,81,94,80,50,83,89,96,62,62,80,87,84,88,89,92,87,15,9,9,15,11
Heung Min Son,28,110000000.0,124500000.0,99000000.0,210000.0,240000.0,190000.0,85,89,50,33,34,62,91,91,39,84,89,84,84,74,86,89,64,78,90,86,60,68,88,90,90,85,70,73,78,6,11,13,13,10
Sergio Ramos,35,33500000.0,37500000.0,30000000.0,300000.0,340000.0,270000.0,83,65,85,90,88,90,92,73,88,71,88,66,82,83,72,81,85,66,70,78,93,92,79,65,64,74,76,92,69,7,11,8,9,11
Cristiano Ronaldo,36,63000000.0,71000000.0,56500000.0,215000.0,245000.0,195000.0,92,88,28,24,32,63,95,95,29,82,95,84,82,77,87,84,78,71,91,87,95,90,94,95,93,81,76,84,86,14,7,11,15,11
Ederson,27,92000000.0,104000000.0,83000000.0,195000.0,220000.0,175000.0,40,23,29,8,15,38,88,20,27,70,70,20,57,59,64,41,78,48,63,60,66,14,70,14,18,15,20,17,18,87,86,82,93,88
Casemiro,29,90500000.0,102500000.0,81500000.0,310000.0,350000.0,280000.0,79,69,85,87,88,91,87,75,87,80,84,58,84,84,60,89,90,66,69,61,87,79,88,64,81,62,74,66,62,12,13,14,16,12
Mohamed Salah,28,120500000.0,136000000.0,108500000.0,245000.0,280000.0,220000.0,89,90,38,41,43,63,92,91,55,84,90,79,84,75,94,85,75,91,92,91,69,59,80,91,84,83,69,83,81,11,14,14,9,14
Andrew Robertson,27,85500000.0,96500000.0,77000000.0,155000.0,175000.0,140000.0,83,81,83,81,84,85,84,77,82,79,83,90,82,76,79,95,65,74,85,78,62,67,78,57,65,82,50,55,32,7,11,8,10,14
Thibaut Courtois,28,88000000.0,99000000.0,79000000.0,250000.0,280000.0,225000.0,23,13,20,16,18,23,84,13,15,44,66,14,33,35,42,38,70,45,52,62,68,13,56,14,17,19,20,27,12,86,84,89,74,88
Kylian Mbappé,22,185500000.0,209500000.0,167000000.0,160000.0,180000.0,145000.0,90,92,34,32,34,62,92,91,38,80,84,78,83,70,96,86,76,82,96,92,77,73,86,91,79,79,63,80,83,11,13,5,7,6
Paulo Dybala,27,95000000.0,107500000.0,85500000.0,155000.0,175000.0,140000.0,94,91,32,40,48,48,84,85,42,87,84,82,87,75,89,78,60,90,82,92,75,64,80,80,87,88,88,84,88,5,5,4,4,8
Virgil van Dijk,29,113000000.0,127500000.0,101500000.0,210000.0,240000.0,190000.0,77,70,93,86,93,83,88,47,90,65,90,53,79,86,67,73,92,53,78,61,90,87,81,52,64,60,70,62,45,11,13,10,13,11
Kevin De Bruyne,29,127500000.0,144000000.0,114500000.0,370000.0,410000.0,330000.0,92,88,68,53,65,76,91,88,66,94,91,94,94,93,77,89,74,78,77,79,63,55,91,82,91,85,83,83,82,10,15,13,5,13
Thomas Müller,31,77000000.0,87500000.0,69500000.0,140000.0,155000.0,125000.0,84,76,47,46,57,62,94,96,58,85,84,85,84,82,68,86,66,71,68,74,77,81,78,88,82,81,59,70,84,14,6,7,11,14
Eden Hazard,30,78000000.0,88000000.0,70000000.0,290000.0,330000.0,260000.0,91,93,34,22,27,54,86,85,41,86,90,77,85,81,90,79,61,92,85,91,55,61,82,82,78,83,79,87,83,8,11,12,6,8
Rodri,24,84000000.0,95000000.0,75500000.0,160000.0,180000.0,145000.0,82,76,83,78,84,76,80,75,83,81,83,63,85,83,66,87,82,69,65,65,71,78,83,64,76,65,54,46,59,14,10,10,7,8
Luka Modrić,35,36500000.0,41500000.0,33000000.0,260000.0,300000.0,235000.0,90,85,70,71,75,62,88,78,80,90,92,86,91,89,76,83,58,92,70,91,67,55,79,72,82,85,78,82,76,14,13,9,7,9
Carvajal,29,61500000.0,69500000.0,55500000.0,230000.0,260000.0,205000.0,84,78,83,85,83,84,84,75,82,74,81,84,83,74,79,89,74,81,80,79,77,72,68,51,47,76,47,45,49,9,13,13,15,15
Aymeric Laporte,26,79000000.0,89000000.0,71000000.0,185000.0,205000.0,165000.0,78,63,87,86,87,81,87,54,87,65,84,58,82,80,60,72,84,60,65,59,76,84,68,45,47,61,69,44,40,14,10,11,5,5
Antoine Griezmann,30,68000000.0,76500000.0,61000000.0,270000.0,310000.0,245000.0,89,85,59,49,54,73,90,88,49,85,89,83,84,81,80,86,63,83,79,91,90,83,81,84,82,86,85,79,87,13,14,8,14,14
Marquinhos,26,83500000.0,94000000.0,75000000.0,125000.0,140000.0,110000.0,79,64,88,88,88,81,86,59,86,68,86,68,82,82,70,80,75,67,73,69,89,84,61,33,35,55,32,47,31,10,6,6,12,13
Milan Škriniar,26,75500000.0,85500000.0,68000000.0,140000.0,155000.0,125000.0,69,67,92,83,89,83,86,30,87,57,87,40,74,70,75,77,85,55,73,50,78,82,50,42,30,34,30,56,40,8,10,13,12,12
Jamie Vardy,34,51000000.0,58000000.0,46000000.0,170000.0,195000.0,155000.0,82,78,57,54,52,87,91,93,49,74,88,69,70,56,87,77,68,76,86,76,79,79,87,92,67,68,60,85,84,15,15,14,7,11
Wojciech Szczęsny,31,53000000.0,59500000.0,47500000.0,105000.0,120000.0,95000.0,22,11,20,12,13,40,82,14,15,48,65,12,32,36,51,45,65,51,47,55,71,16,55,12,14,16,14,18,14,87,86,82,73,88
Mats Hummels,32,54500000.0,61500000.0,49000000.0,100000.0,115000.0,90000.0,80,69,90,87,90,71,88,56,91,80,89,65,82,86,46,65,86,62,66,63,70,88,71,57,49,66,53,68,61,5,15,6,10,6
Hugo Lloris,34,26000000.0,29500000.0,23500000.0,125000.0,140000.0,110000.0,34,10,29,18,10,31,85,10,27,30,65,13,50,50,65,41,43,54,62,55,74,10,51,10,14,11,10,40,11,84,89,82,68,90
Paul Pogba,28,72000000.0,81500000.0,65000000.0,190000.0,215000.0,170000.0,90,88,59,63,67,78,81,82,65,88,88,77,86,92,66,75,89,68,79,73,82,74,90,75,83,85,82,83,84,4,5,6,2,3
Luis Suárez,34,51000000.0,58000000.0,46000000.0,115000.0,130000.0,105000.0,84,83,57,38,45,87,92,91,41,84,85,80,83,77,74,78,85,78,68,76,69,84,89,92,88,86,82,83,90,33,27,25,31,37
Marco Verratti,28,72000000.0,81500000.0,65000000.0,135000.0,150000.0,120000.0,90,90,78,83,82,89,87,71,85,88,94,75,90,89,68,76,53,94,61,91,65,55,56,60,58,78,64,64,64,15,12,12,15,10
Frenkie de Jong,23,102000000.0,115500000.0,92000000.0,210000.0,240000.0,190000.0,88,87,76,77,76,70,88,76,82,86,90,75,90,86,80,90,74,79,80,83,76,68,68,69,63,84,64,45,69,10,7,13,10,9
Samir Handanovič,36,9000000.0,10000000.0,8000000.0,85000.0,95000.0,75000.0,16,18,25,13,10,25,81,12,22,41,69,12,42,40,45,41,69,36,50,47,78,10,53,10,19,12,14,23,12,89,88,83,70,88
Gianluigi Donnarumma,22,88500000.0,100000000.0,79500000.0,37000.0,41000.0,33000.0,30,28,20,16,14,30,80,14,26,60,68,12,36,34,50,34,72,38,55,64,72,12,57,12,18,12,14,24,8,84,89,81,76,89
Serge Gnabry,25,88000000.0,99000000.0,79000000.0,110000.0,125000.0,100000.0,83,88,45,43,44,63,86,86,38,83,80,79,82,78,90,78,69,88,77,86,65,42,87,87,82,74,62,68,83,9,14,10,10,7
Ciro Immobile,31,78000000.0,88000000.0,70000000.0,125000.0,140000.0,110000.0,84,83,34,32,33,77,90,93,40,71,86,55,80,53,82,78,77,77,85,75,77,81,86,93,80,70,51,88,85,12,6,8,15,6
De Gea,30,46500000.0,52500000.0,42000000.0,150000.0,170000.0,135000.0,38,18,25,13,21,38,84,12,30,61,65,17,48,43,57,43,55,43,58,63,67,21,57,13,12,21,19,29,13,80,88,80,76,89
Bernardo Silva,26,81000000.0,91500000.0,73000000.0,195000.0,220000.0,175000.0,90,92,49,45,63,70,85,84,54,84,87,85,86,76,85,93,54,92,78,94,51,51,76,78,76,84,67,68,70,12,9,10,14,9
Fabinho,27,88500000.0,100000000.0,79500000.0,155000.0,175000.0,140000.0,82,76,87,86,88,86,87,70,88,79,84,75,85,83,68,88,81,65,69,66,75,75,81,63,70,71,53,90,47,8,13,12,6,8
Ángel Di María,33,63000000.0,71000000.0,56500000.0,160000.0,180000.0,145000.0,87,88,41,52,55,73,84,84,42,88,86,88,83,80,82,78,60,76,83,94,72,51,83,79,86,89,88,73,78,12,10,7,11,11
Raheem Sterling,26,95000000.0,107500000.0,85500000.0,230000.0,260000.0,205000.0,86,87,47,47,53,59,89,90,30,82,78,78,84,69,96,79,71,94,88,94,57,46,78,83,79,77,63,67,67,15,15,12,12,9
Sergio Agüero,32,64500000.0,73000000.0,58000000.0,240000.0,270000.0,215000.0,88,86,30,24,29,65,89,92,24,80,91,70,80,64,77,62,74,90,75,82,78,78,89,94,83,83,73,75,85,11,13,15,6,14
Jadon Sancho,21,105500000.0,119500000.0,95000000.0,75000.0,80000.0,65000.0,90,91,32,32,41,44,85,82,39,87,85,82,86,68,86,77,67,90,80,91,51,38,73,80,63,84,65,65,83,11,7,11,10,13
Kingsley Coman,24,93000000.0,105000000.0,83500000.0,110000.0,125000.0,100000.0,88,89,29,21,27,38,85,85,23,81,78,79,80,74,94,69,64,84,93,91,73,61,80,75,73,83,70,70,77,3,5,3,5,5
Trent Alexander-Arnold,22,97500000.0,110000000.0,87500000.0,100000.0,115000.0,90000.0,86,77,78,79,83,74,81,76,82,84,81,91,85,89,76,88,62,74,80,74,66,69,82,59,75,87,85,55,62,6,14,15,14,7
João Cancelo,26,61000000.0,69000000.0,55000000.0,170000.0,195000.0,155000.0,85,85,79,80,82,73,85,80,80,83,85,86,85,78,87,90,60,78,85,80,72,72,80,68,75,84,69,46,62,14,6,9,15,14
Hakim Ziyech,28,57500000.0,64500000.0,51500000.0,140000.0,155000.0,125000.0,85,83,44,40,56,73,84,82,52,89,79,88,86,89,79,79,59,78,77,85,37,53,83,73,77,90,78,67,74,8,11,7,11,14
Luis Alberto,28,57500000.0,64500000.0,51500000.0,100000.0,115000.0,90000.0,88,86,58,52,70,29,80,80,59,88,78,76,90,89,76,75,64,74,72,81,53,49,78,78,78,86,81,56,78,12,6,8,6,11
Jordi Alba,32,49500000.0,56000000.0,44500000.0,220000.0,250000.0,200000.0,85,81,74,80,78,75,80,83,81,78,80,85,85,79,87,87,61,85,86,90,80,70,64,73,66,80,63,59,60,6,13,15,13,13
David Silva,35,32000000.0,36500000.0,29000000.0,60000.0,70000.0,55000.0,91,86,58,29,53,56,87,86,50,91,92,84,92,84,68,70,46,87,61,85,64,53,72,72,73,82,77,75,82,6,6,15,7,12
Thiago,30,52500000.0,59000000.0,47000000.0,150000.0,170000.0,135000.0,91,90,67,68,71,54,84,75,82,85,86,78,89,89,72,74,59,90,55,91,77,54,75,68,73,85,77,75,84,9,6,11,7,13
Matthijs de Ligt,21,99000000.0,111500000.0,89000000.0,80000.0,90000.0,70000.0,76,66,86,82,85,83,84,44,83,63,82,52,75,74,68,76,88,60,75,56,84,86,82,50,66,48,55,40,45,12,12,11,11,10
Sergio Busquets,32,47500000.0,53500000.0,42500000.0,220000.0,250000.0,200000.0,85,81,83,80,83,81,83,77,85,82,92,62,86,83,40,80,74,50,43,67,66,68,61,67,54,66,68,60,44,9,5,8,13,13
Riyad Mahrez,30,53000000.0,59500000.0,47500000.0,210000.0,240000.0,190000.0,91,91,45,22,31,48,81,80,39,82,84,81,80,75,87,76,57,88,79,92,60,48,79,81,79,85,78,70,76,11,15,9,13,6
Koke,29,54000000.0,61000000.0,48500000.0,90000.0,100000.0,80000.0,84,80,82,70,80,79,89,82,82,86,86,85,86,83,68,94,75,82,66,73,59,61,83,72,80,85,76,59,56,10,14,12,5,13
Sergej Milinković-Savić,26,71000000.0,80500000.0,64000000.0,95000.0,105000.0,85000.0,88,86,78,74,79,79,83,79,78,85,84,64,85,85,66,85,88,63,72,64,85,86,83,80,80,78,75,56,74,16,7,10,7,7
Kasper Schmeichel,34,17500000.0,19500000.0,15500000.0,100000.0,115000.0,90000.0,40,12,14,13,14,35,82,13,20,59,67,18,44,46,45,34,64,47,51,61,60,16,60,12,14,13,15,26,15,83,84,78,80,90
Marcus Rashford,23,86500000.0,98000000.0,78000000.0,150000.0,170000.0,135000.0,85,88,45,33,38,73,85,83,42,82,80,80,82,72,89,87,76,75,93,85,75,68,92,85,81,83,76,81,73,7,11,6,15,14
Piqué,34,32500000.0,36500000.0,29000000.0,220000.0,250000.0,200000.0,80,63,88,84,86,79,88,64,87,72,87,57,81,81,50,69,87,35,64,57,74,84,62,65,51,58,43,69,57,15,10,11,14,8
Alejandro Gómez,33,54000000.0,61000000.0,48500000.0,55000.0,60000.0,49000.0,86,85,50,34,30,56,86,80,40,87,85,83,85,80,92,75,44,94,84,93,70,38,79,77,82,85,79,72,72,9,8,11,12,6
Pierre-Emerick Aubameyang,31,45500000.0,51500000.0,41000000.0,145000.0,165000.0,130000.0,81,79,27,36,29,43,86,90,48,77,87,76,77,64,88,79,74,68,91,77,75,73,82,89,78,81,76,83,83,9,6,9,15,9
Koen Casteels,28,43000000.0,48500000.0,38500000.0,65000.0,75000.0,60000.0,23,14,11,17,19,33,83,15,16,42,40,15,35,37,44,44,72,43,46,50,58,14,60,15,18,20,13,20,13,84,85,83,80,87
Roberto Firmino,29,55000000.0,62000000.0,49500000.0,160000.0,180000.0,145000.0,90,89,60,42,64,75,86,82,58,83,88,73,84,76,78,88,74,86,77,85,81,75,79,78,76,81,65,72,85,6,8,11,9,10
Dries Mertens,33,34500000.0,39000000.0,31000000.0,115000.0,130000.0,105000.0,89,88,25,40,40,59,86,85,36,83,81,79,82,74,90,70,37,92,82,94,58,40,80,84,81,82,79,79,70,10,7,10,8,4
Giorgio Chiellini,36,18000000.0,20000000.0,16000000.0,85000.0,95000.0,75000.0,61,59,93,87,89,90,82,28,88,50,82,54,65,65,60,54,87,57,70,57,87,80,78,33,49,60,31,50,45,4,3,3,2,3
Raphaël Varane,27,57500000.0,64500000.0,51500000.0,200000.0,225000.0,180000.0,78,55,86,86,87,80,84,55,85,59,83,42,77,76,79,75,86,39,85,62,81,85,52,46,53,46,52,43,42,5,11,11,9,14
Ricardo Pereira,27,53500000.0,60500000.0,48000000.0,120000.0,140000.0,110000.0,83,82,81,83,84,79,85,77,81,76,81,82,83,78,84,87,69,79,83,79,75,67,74,66,64,78,52,61,59,11,16,12,15,11
Stefan de Vrij,29,46500000.0,52500000.0,42000000.0,145000.0,165000.0,130000.0,75,66,89,85,87,77,85,31,87,70,85,49,75,71,72,66,78,59,76,61,79,84,65,25,60,45,16,41,27,14,8,10,7,13
Péter Gulácsi,30,36000000.0,41000000.0,32500000.0,65000.0,75000.0,60000.0,25,19,25,20,16,34,82,11,23,42,45,16,35,31,42,35,74,42,44,41,67,23,62,10,12,18,11,24,10,84,84,85,82,86
Thiago Silva,36,14500000.0,16500000.0,13000000.0,95000.0,105000.0,85000.0,79,67,87,84,86,76,82,59,88,70,86,60,80,80,54,71,82,66,61,67,90,81,71,40,65,62,61,60,61,9,9,12,5,10
Jordan Henderson,30,57000000.0,64500000.0,51500000.0,140000.0,155000.0,125000.0,84,78,84,77,83,84,86,78,85,83,82,82,86,87,68,91,78,68,67,69,78,65,77,73,75,80,74,64,71,9,7,13,7,13
Leroy Sané,25,73500000.0,83000000.0,66000000.0,100000.0,115000.0,90000.0,84,88,36,35,32,63,79,84,34,82,80,83,81,64,91,68,71,78,92,84,64,72,87,81,78,83,82,71,85,9,8,12,9,14
Romelu Lukaku,27,79500000.0,90000000.0,71500000.0,175000.0,195000.0,155000.0,80,78,30,30,41,71,87,87,27,75,86,73,77,70,78,73,95,46,84,60,71,87,87,88,74,78,66,88,77,7,8,15,14,10
Parejo,32,44000000.0,49500000.0,39500000.0,60000.0,70000.0,55000.0,86,82,70,69,70,58,80,82,81,89,85,86,92,90,52,78,70,72,49,63,49,61,81,83,88,88,90,88,72,14,5,9,12,8
Lorenzo Insigne,29,53000000.0,59500000.0,47500000.0,120000.0,140000.0,110000.0,93,90,53,22,24,34,80,81,26,85,83,83,83,78,92,70,34,93,84,93,50,59,78,75,84,87,77,74,74,9,8,4,14,10
Lucas Digne,27,45500000.0,51500000.0,41000000.0,110000.0,125000.0,100000.0,84,78,78,84,83,76,83,73,82,75,81,88,81,73,78,86,69,78,78,74,92,71,83,60,76,83,83,60,68,6,6,12,9,13
Kyle Walker,30,36500000.0,41500000.0,33000000.0,155000.0,175000.0,140000.0,80,79,77,83,84,84,84,68,80,69,75,77,79,77,90,87,80,69,94,66,83,75,86,51,69,76,71,63,57,15,12,6,16,8
Marco Reus,31,35000000.0,39500000.0,31500000.0,85000.0,95000.0,75000.0,86,85,51,54,38,51,85,85,48,84,84,85,85,76,76,67,66,82,74,82,70,44,87,84,83,88,85,76,85,13,12,12,13,11
Lautaro Martínez,23,65500000.0,74000000.0,59000000.0,130000.0,145000.0,115000.0,84,85,56,44,31,86,85,86,45,77,83,56,78,73,83,77,83,78,83,86,88,84,80,86,74,78,43,74,83,8,11,8,8,13
Nabil Fekir,27,49500000.0,56000000.0,44500000.0,42000.0,48000.0,38000.0,87,88,34,30,42,79,79,82,34,83,89,79,84,78,81,79,81,91,79,81,64,49,84,83,84,83,79,74,77,14,15,9,8,15
Thomas Partey,27,48000000.0,54000000.0,43000000.0,120000.0,140000.0,110000.0,83,84,81,81,85,84,83,72,84,85,86,74,87,85,68,89,84,50,74,75,83,68,86,66,83,69,70,49,56,9,11,13,9,7
Rúben Dias,23,57500000.0,64500000.0,51500000.0,135000.0,150000.0,120000.0,71,64,87,83,87,92,84,39,84,40,81,34,78,74,63,89,85,56,67,54,78,86,74,29,22,33,26,45,30,7,7,8,13,12
Toby Alderweireld,32,29000000.0,32500000.0,26000000.0,120000.0,140000.0,110000.0,75,62,88,85,88,82,86,52,85,62,86,64,77,81,60,78,78,62,63,59,80,81,78,45,58,63,59,58,38,16,16,6,14,14
Leonardo Bonucci,33,20000000.0,22500000.0,18000000.0,105000.0,120000.0,95000.0,75,69,87,80,84,82,82,38,88,74,86,44,79,84,58,66,79,55,62,60,85,83,74,48,65,56,60,70,58,2,2,2,3,4
Wissam Ben Yedder,30,42000000.0,47500000.0,38000000.0,90000.0,100000.0,80000.0,87,87,34,26,33,62,86,90,44,80,85,74,82,66,82,74,68,90,80,90,77,74,84,88,74,82,76,85,84,7,6,13,9,7
Raúl Jiménez,29,42000000.0,47500000.0,38000000.0,140000.0,155000.0,125000.0,83,84,53,30,38,81,83,84,53,78,81,73,81,75,69,86,84,68,82,75,75,85,83,84,74,75,51,92,82,14,7,11,13,10
Wilfred Ndidi,24,52000000.0,59000000.0,47000000.0,95000.0,105000.0,85000.0,78,72,87,85,90,87,87,67,90,68,80,53,78,75,69,91,78,68,72,69,90,74,80,50,70,60,60,57,68,7,13,14,7,13
İlkay Gündoğan,30,41000000.0,46500000.0,37000000.0,180000.0,200000.0,160000.0,89,86,76,67,75,70,86,82,78,86,87,78,88,85,66,74,73,77,66,77,61,50,79,80,81,86,80,80,75,5,11,14,5,13
Alex Sandro,30,37000000.0,42000000.0,33500000.0,110000.0,125000.0,100000.0,81,80,80,80,80,80,82,70,80,70,80,84,81,71,78,86,77,77,83,78,79,76,80,55,72,78,59,60,68,12,7,7,9,5
Marcos Llorente,26,55500000.0,63000000.0,50000000.0,75000.0,80000.0,65000.0,83,83,79,74,80,83,86,84,82,84,83,74,85,82,84,89,79,69,88,82,69,67,82,79,79,73,58,64,64,11,13,6,6,15
Marcel Sabitzer,27,49500000.0,56000000.0,44500000.0,80000.0,90000.0,70000.0,82,79,71,59,70,77,86,83,66,83,80,74,84,81,76,85,76,80,83,75,71,60,88,81,88,76,78,72,82,15,11,13,14,13
Edinson Cavani,34,27000000.0,31000000.0,24500000.0,175000.0,195000.0,155000.0,80,75,57,39,48,83,88,91,54,76,83,68,77,52,68,86,79,57,75,70,88,85,88,87,76,77,75,85,86,13,12,5,13,10
Josip Iličić,33,34000000.0,38500000.0,30500000.0,90000.0,100000.0,80000.0,88,88,53,26,32,58,80,85,46,87,80,82,86,77,73,65,74,66,74,71,34,58,88,85,89,85,85,78,83,12,13,13,8,6
Mauro Icardi,28,45500000.0,51500000.0,41000000.0,125000.0,140000.0,110000.0,80,76,45,20,24,56,86,91,22,72,83,47,76,54,74,66,72,75,73,73,90,85,85,87,71,76,48,82,85,7,13,9,5,9
Jérôme Boateng,32,29000000.0,32500000.0,26000000.0,100000.0,115000.0,90000.0,70,64,84,86,87,84,85,47,82,78,84,69,77,84,66,60,88,52,79,56,74,84,78,34,58,53,31,46,52,6,7,12,15,5
José María Giménez,26,52500000.0,59000000.0,47000000.0,70000.0,80000.0,65000.0,66,54,88,86,87,89,79,24,85,46,76,47,70,67,71,64,88,40,70,54,90,83,72,37,48,36,44,38,30,10,9,11,7,15
Memphis Depay,27,50500000.0,57000000.0,45500000.0,105000.0,120000.0,95000.0,84,85,29,20,31,72,83,85,28,85,79,84,81,76,81,78,81,79,82,79,69,65,87,83,83,85,83,76,74,12,8,14,6,10
Filip Kostić,28,45000000.0,51000000.0,40500000.0,49000.0,55000.0,44000.0,82,85,69,68,72,80,82,79,63,81,80,91,78,75,89,90,77,79,88,77,67,59,85,75,78,79,80,64,70,12,13,14,12,13
Bernd Leno,29,33500000.0,37500000.0,30000000.0,95000.0,105000.0,85000.0,35,16,27,18,15,28,81,7,25,56,66,9,50,48,55,43,70,44,56,52,73,13,59,9,14,9,8,23,10,84,85,81,78,86
Oyarzabal,24,63500000.0,71500000.0,57000000.0,46000.0,50000.0,41000.0,85,85,55,30,32,52,81,85,29,85,83,82,81,73,83,82,57,79,81,82,72,60,80,84,81,74,71,84,73,13,10,6,10,11
Timo Werner,25,58500000.0,66000000.0,52500000.0,125000.0,140000.0,110000.0,85,84,39,19,20,63,87,88,37,65,82,69,78,55,93,83,65,76,89,82,75,76,85,84,77,70,58,78,84,15,9,9,8,9
Arthur,24,60000000.0,68000000.0,54000000.0,100000.0,115000.0,90000.0,89,87,76,70,79,75,85,75,77,86,90,73,88,84,68,76,68,90,65,79,68,58,78,70,76,76,60,69,63,11,6,13,13,12
Georginio Wijnaldum,30,41000000.0,46500000.0,37000000.0,135000.0,150000.0,120000.0,88,85,79,71,80,75,86,79,80,79,86,72,87,81,78,93,74,88,77,84,81,78,78,75,73,78,73,74,73,12,16,6,14,6
Iago Aspas,33,34000000.0,38500000.0,30500000.0,45000.0,50000.0,40000.0,86,87,39,18,21,63,84,84,39,81,85,80,80,73,78,69,60,72,86,90,66,77,79,89,81,79,83,82,83,12,12,16,9,13
Marcelo Brozović,28,39500000.0,44500000.0,35500000.0,125000.0,140000.0,110000.0,84,76,77,80,81,85,76,70,81,80,82,72,83,84,62,94,67,76,63,72,67,70,80,69,84,79,74,69,65,11,8,8,15,8
Lucas Hernández,25,46000000.0,52000000.0,41500000.0,75000.0,80000.0,65000.0,76,65,85,86,85,88,85,62,83,63,76,78,74,63,77,75,77,68,76,70,85,82,62,53,51,59,39,42,46,14,10,7,8,10
